payment_id,order_id,customer_id,amount,payment_method,status,failure_reason,created_at,retry_count
PAY0001,ORD0001,CUST0164,2323,UPI,captured,,2026-08-06T13:44:00,0
PAY0002,ORD0002,CUST0058,2785,UPI,captured,,2026-08-13T09:50:00,0
PAY0003,ORD0003,CUST0023,7411,UPI,failed,insufficient_funds,2026-08-12T11:59:00,1
PAY0004,ORD0004,CUST0155,933,CARD,captured,,2026-08-13T09:36:00,0
PAY0005,ORD0005,CUST0108,4110,WALLET,captured,,2026-08-01T03:32:00,0
PAY0006,ORD0006,CUST0195,3114,WALLET,captured,,2026-08-04T12:54:00,0
PAY0007,ORD0007,CUST0056,6013,UPI,failed,bank_error,2026-08-08T19:50:00,2
PAY0008,ORD0008,CUST0155,4832,UPI,captured,,2026-08-13T04:51:00,0
PAY0009,ORD0009,CUST0032,6700,UPI,captured,,2026-08-15T07:19:00,0
PAY0010,ORD0010,CUST0159,6424,CARD,captured,,2026-08-02T01:01:00,0
PAY0011,ORD0011,CUST0170,4232,NETBANKING,captured,,2026-08-06T07:08:00,0
PAY0012,ORD0012,CUST0222,2153,WALLET,captured,,2026-08-15T11:10:00,0
PAY0013,ORD0013,CUST0214,6476,CARD,captured,,2026-08-05T18:25:00,0
PAY0014,ORD0014,CUST0172,4873,UPI,captured,,2026-08-04T21:27:00,0
PAY0015,ORD0015,CUST0137,4509,CARD,captured,,2026-08-07T03:25:00,0
PAY0016,ORD0016,CUST0237,9624,CARD,captured,,2026-08-02T06:32:00,0
PAY0017,ORD0017,CUST0059,1024,NETBANKING,captured,,2026-08-02T12:08:00,0
PAY0018,ORD0018,CUST0055,9791,NETBANKING,captured,,2026-08-12T08:38:00,0
PAY0019,ORD0019,CUST0102,8016,CARD,captured,,2026-08-06T14:41:00,0
PAY0020,ORD0020,CUST0191,9696,NETBANKING,captured,,2026-08-10T17:58:00,0
PAY0021,ORD0021,CUST0230,7042,NETBANKING,captured,,2026-08-04T03:32:00,0
PAY0022,ORD0022,CUST0131,8584,UPI,captured,,2026-08-03T11:52:00,0
PAY0023,ORD0023,CUST0040,3120,WALLET,captured,,2026-08-09T18:08:00,0
PAY0024,ORD0024,CUST0098,8167,NETBANKING,captured,,2026-08-01T06:16:00,0
PAY0025,ORD0025,CUST0175,2375,NETBANKING,captured,,2026-08-08T17:46:00,0
PAY0026,ORD0026,CUST0029,5307,WALLET,captured,,2026-08-01T01:46:00,0
PAY0027,ORD0027,CUST0245,4814,CARD,captured,,2026-08-03T10:06:00,0
PAY0028,ORD0028,CUST0223,5388,CARD,captured,,2026-08-04T16:13:00,0
PAY0029,ORD0029,CUST0139,9188,UPI,captured,,2026-08-12T02:50:00,0
PAY0030,ORD0030,CUST0005,2331,NETBANKING,captured,,2026-08-07T23:56:00,0
PAY0031,ORD0031,CUST0062,1448,CARD,captured,,2026-08-02T19:00:00,0
PAY0032,ORD0032,CUST0022,8461,UPI,captured,,2026-08-13T02:55:00,0
PAY0033,ORD0033,CUST0197,2559,CARD,captured,,2026-08-13T12:15:00,0
PAY0034,ORD0034,CUST0043,4841,WALLET,captured,,2026-08-13T06:31:00,0
PAY0035,ORD0035,CUST0194,3794,NETBANKING,captured,,2026-08-16T06:49:00,0
PAY0036,ORD0036,CUST0167,6617,WALLET,captured,,2026-08-11T06:34:00,0
PAY0037,ORD0037,CUST0031,4560,CARD,failed,bank_error,2026-08-14T09:22:00,1
PAY0038,ORD0038,CUST0057,616,UPI,captured,,2026-08-02T08:09:00,0
PAY0039,ORD0039,CUST0059,1603,UPI,captured,,2026-08-02T14:41:00,0
PAY0040,ORD0040,CUST0132,4398,NETBANKING,captured,,2026-08-05T21:00:00,0
PAY0041,ORD0041,CUST0139,2666,WALLET,captured,,2026-08-11T18:18:00,0
PAY0042,ORD0042,CUST0207,7168,CARD,failed,authentication_failed,2026-08-10T15:19:00,2
PAY0043,ORD0043,CUST0106,8150,UPI,captured,,2026-08-15T16:54:00,0
PAY0044,ORD0044,CUST0026,1492,WALLET,captured,,2026-08-03T11:40:00,0
PAY0045,ORD0045,CUST0064,3638,CARD,captured,,2026-08-04T04:33:00,0
PAY0046,ORD0046,CUST0109,3505,NETBANKING,captured,,2026-08-02T17:10:00,0
PAY0047,ORD0047,CUST0114,9515,UPI,failed,limit_exceeded,2026-08-03T02:56:00,0
PAY0048,ORD0048,CUST0238,4371,CARD,captured,,2026-08-11T22:53:00,0
PAY0049,ORD0049,CUST0055,7069,UPI,failed,bank_error,2026-08-07T00:50:00,3
PAY0050,ORD0050,CUST0238,7953,NETBANKING,captured,,2026-08-13T15:31:00,0
PAY0051,ORD0051,CUST0170,8472,CARD,captured,,2026-08-05T22:53:00,0
PAY0052,ORD0052,CUST0248,1457,UPI,captured,,2026-08-02T07:13:00,0
PAY0053,ORD0053,CUST0013,8310,CARD,failed,limit_exceeded,2026-08-05T05:29:00,0
PAY0054,ORD0054,CUST0018,1612,CARD,captured,,2026-08-13T23:07:00,0
PAY0055,ORD0055,CUST0064,9984,UPI,captured,,2026-08-10T12:57:00,0
PAY0056,ORD0056,CUST0169,9759,NETBANKING,captured,,2026-08-05T15:33:00,0
PAY0057,ORD0057,CUST0172,5646,CARD,captured,,2026-08-03T23:28:00,0
PAY0058,ORD0058,CUST0172,5414,WALLET,captured,,2026-08-02T15:37:00,0
PAY0059,ORD0059,CUST0003,8007,UPI,failed,insufficient_funds,2026-08-04T00:20:00,2
PAY0060,ORD0060,CUST0239,6217,UPI,captured,,2026-08-09T09:48:00,0
PAY0061,ORD0061,CUST0073,3083,WALLET,captured,,2026-08-07T21:12:00,0
PAY0062,ORD0062,CUST0157,9165,UPI,captured,,2026-08-13T14:53:00,0
PAY0063,ORD0063,CUST0077,2196,CARD,captured,,2026-08-03T10:27:00,0
PAY0064,ORD0064,CUST0191,9563,CARD,captured,,2026-08-14T18:19:00,0
PAY0065,ORD0065,CUST0054,6116,CARD,captured,,2026-08-07T00:10:00,0
PAY0066,ORD0066,CUST0130,8503,NETBANKING,captured,,2026-08-02T03:44:00,0
PAY0067,ORD0067,CUST0024,7438,NETBANKING,failed,network_error,2026-08-15T11:56:00,1
PAY0068,ORD0068,CUST0068,3146,WALLET,captured,,2026-08-10T17:34:00,0
PAY0069,ORD0069,CUST0144,657,UPI,failed,insufficient_funds,2026-08-09T09:38:00,0
PAY0070,ORD0070,CUST0150,9551,CARD,captured,,2026-08-01T22:50:00,0
PAY0071,ORD0071,CUST0079,6473,UPI,captured,,2026-08-05T18:43:00,0
PAY0072,ORD0072,CUST0175,4587,UPI,captured,,2026-08-13T17:46:00,0
PAY0073,ORD0073,CUST0227,7157,CARD,captured,,2026-08-06T09:17:00,0
PAY0074,ORD0074,CUST0222,3161,CARD,captured,,2026-08-01T13:32:00,0
PAY0075,ORD0075,CUST0046,5941,WALLET,captured,,2026-08-06T15:31:00,0
PAY0076,ORD0076,CUST0069,3107,UPI,captured,,2026-08-01T21:08:00,0
PAY0077,ORD0077,CUST0220,8210,CARD,captured,,2026-08-11T11:23:00,0
PAY0078,ORD0078,CUST0090,5499,CARD,captured,,2026-08-16T00:27:00,0
PAY0079,ORD0079,CUST0050,7027,NETBANKING,captured,,2026-08-02T13:54:00,0
PAY0080,ORD0080,CUST0248,5072,NETBANKING,captured,,2026-08-10T02:16:00,0
PAY0081,ORD0081,CUST0174,9284,NETBANKING,captured,,2026-08-03T14:59:00,0
PAY0082,ORD0082,CUST0225,4778,CARD,captured,,2026-08-07T00:58:00,0
PAY0083,ORD0083,CUST0010,2275,WALLET,captured,,2026-08-08T03:18:00,0
PAY0084,ORD0084,CUST0112,8878,UPI,captured,,2026-08-14T02:53:00,0
PAY0085,ORD0085,CUST0049,4672,UPI,captured,,2026-08-01T00:55:00,0
PAY0086,ORD0086,CUST0134,9320,CARD,captured,,2026-08-02T14:12:00,0
PAY0087,ORD0087,CUST0243,5908,NETBANKING,captured,,2026-08-03T20:03:00,0
PAY0088,ORD0088,CUST0185,5419,NETBANKING,captured,,2026-08-08T10:08:00,0
PAY0089,ORD0089,CUST0104,5343,CARD,captured,,2026-08-16T03:08:00,0
PAY0090,ORD0090,CUST0241,6710,CARD,captured,,2026-08-07T20:21:00,0
PAY0091,ORD0091,CUST0104,9476,UPI,captured,,2026-08-05T18:47:00,0
